Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,18/11/17,Liverpool,Southampton,3,0,H,2,0,H,M Jones
18,18/11/17,Man United,Newcastle,4,1,H,2,1,H,C Pawson
18,18/11/17,West Brom,Chelsea,0,4,A,0,3,A,J Moss
18,19/11/17,Watford,West Ham,2,0,H,1,0,H,A Marriner
18,20/11/17,Brighton,Stoke,2,2,D,1,2,A,L Mason
18,24/11/17,West Ham,Leicester,1,1,D,1,1,D,M Atkinson
18,25/11/17,Crystal Palace,Stoke,2,1,H,0,0,D,M Dean
18,25/11/17,Liverpool,Chelsea,1,1,D,0,0,D,M Oliver
18,25/11/17,Man United,Brighton,1,0,H,0,0,D,N Swarbrick
18,25/11/17,Newcastle,Watford,0,3,A,0,2,A,C Kavanagh
18,25/11/17,Swansea,Bournemouth,0,0,D,0,0,D,S Attwell
18,25/11/17,Tottenham,West Brom,1,1,D,0,1,A,M Jones
18,26/11/17,Burnley,Arsenal,0,1,A,0,0,D,L Mason
18,26/11/17,Huddersfield,Man City,1,2,A,1,0,H,C Pawson
18,26/11/17,Southampton,Everton,4,1,H,1,1,D,K Friend
18,28/11/17,Brighton,Crystal Palace,0,0,D,0,0,D,A Marriner
18,28/11/17,Leicester,Tottenham,2,1,H,2,0,H,A Taylor
18,28/11/17,Watford,Man United,2,4,A,0,3,A,J Moss
18,28/11/17,West Brom,Newcastle,2,2,D,1,0,H,L Probert
18,29/11/17,Arsenal,Huddersfield,5,0,H,1,0,H,G Scott
18,29/11/17,Bournemouth,Burnley,1,2,A,0,1,A,R East
18,29/11/17,Chelsea,Swansea,1,0,H,0,0,D,N Swarbrick
18,29/11/17,Everton,West Ham,4,0,H,2,0,H,M Oliver
18,29/11/17,Man City,Southampton,2,1,H,0,0,D,P Tierney
18,29/11/17,Stoke,Liverpool,0,3,A,0,1,A,M Atkinson
18,2/12/2017,Arsenal,Man United,1,3,A,0,2,A,A Marriner
18,2/12/2017,Brighton,Liverpool,1,5,A,0,2,A,G Scott
18,2/12/2017,Chelsea,Newcastle,3,1,H,2,1,H,K Friend
18,2/12/2017,Everton,Huddersfield,2,0,H,0,0,D,C Kavanagh
18,2/12/2017,Leicester,Burnley,1,0,H,1,0,H,P Tierney
18,2/12/2017,Stoke,Swansea,2,1,H,2,1,H,C Pawson
18,2/12/2017,Watford,Tottenham,1,1,D,1,1,D,M Atkinson
18,2/12/2017,West Brom,Crystal Palace,0,0,D,0,0,D,M Oliver
18,3/12/2017,Bournemouth,Southampton,1,1,D,1,0,H,J Moss
18,3/12/2017,Man City,West Ham,2,1,H,0,1,A,M Dean
18,9/12/2017,Burnley,Watford,1,0,H,1,0,H,L Probert
18,9/12/2017,Crystal Palace,Bournemouth,2,2,D,2,2,D,K Friend
18,9/12/2017,Huddersfield,Brighton,2,0,H,2,0,H,S Attwell
18,9/12/2017,Newcastle,Leicester,2,3,A,1,1,D,N Swarbrick
18,9/12/2017,Swansea,West Brom,1,0,H,0,0,D,M Dean
18,9/12/2017,Tottenham,Stoke,5,1,H,1,0,H,R East
18,9/12/2017,West Ham,Chelsea,1,0,H,1,0,H,A Taylor
18,10/12/2017,Liverpool,Everton,1,1,D,1,0,H,C Pawson
